Date,FG,NQ
2017-02-03,60.0,5161.60009765625
2017-02-06,57.0,5167.9599609375
2017-02-07,57.0,5185.8798828125
2017-02-08,61.0,5196.580078125
2017-02-09,66.0,5212.16015625
2017-02-10,70.0,5226.68994140625
2017-02-13,72.0,5256.81982421875
2017-02-14,78.0,5271.06982421875
2017-02-15,80.0,5302.39013671875
2017-02-16,79.0,5300.64013671875
2017-02-17,78.0,5324.72021484375
2017-02-21,83.0,5350.72998046875
2017-02-22,80.0,5352.1298828125
2017-02-23,75.0,5332.3701171875
2017-02-24,68.0,5343.31005859375
2017-02-27,71.0,5347.5498046875
2017-02-28,64.0,5330.31005859375
2017-03-01,81.0,5390.990234375
2017-03-02,78.0,5363.259765625
2017-03-03,77.0,5373.47998046875
2017-03-06,69.0,5360.31005859375
2017-03-07,65.0,5351.27978515625
2017-03-08,65.0,5359.81005859375
2017-03-09,62.0,5363.97998046875
2017-03-10,65.0,5385.89990234375
2017-03-13,64.0,5394.56982421875
2017-03-14,58.0,5382.169921875
2017-03-15,50.0,5416.25
2017-03-16,51.0,5412.080078125
2017-03-17,45.0,5408.759765625
2017-03-20,43.0,5413.31005859375
2017-03-21,37.0,5332.52978515625
2017-03-22,32.0,5367.5498046875
2017-03-23,31.0,5355.14013671875
2017-03-24,31.0,5364.0
2017-03-27,27.0,5374.27001953125
2017-03-28,39.0,5407.2099609375
2017-03-29,39.0,5430.27001953125
2017-03-30,43.0,5439.740234375
2017-03-31,47.0,5436.22998046875
2017-04-03,45.0,5432.2001953125
2017-04-04,43.0,5440.41015625
2017-04-05,43.0,5418.52001953125
2017-04-06,43.0,5420.8798828125
2017-04-07,40.0,5418.3701171875
2017-04-10,32.0,5421.68017578125
2017-04-11,31.0,5398.39990234375
2017-04-12,28.0,5377.02978515625
2017-04-13,25.0,5353.58984375
2017-04-17,30.0,5399.2001953125
2017-04-18,32.0,5391.66015625
2017-04-19,30.0,5399.64013671875
2017-04-20,34.0,5443.52978515625
2017-04-21,37.0,5442.0498046875
2017-04-24,39.0,5508.02978515625
2017-04-25,46.0,5548.18994140625
2017-04-26,48.0,5541.08984375
2017-04-27,50.0,5571.27978515625
2017-04-28,49.0,5583.52978515625
2017-05-01,51.0,5629.6298828125
2017-05-02,47.0,5644.06982421875
2017-05-03,47.0,5625.16015625
2017-05-04,45.0,5626.31982421875
2017-05-05,47.0,5646.08984375
2017-05-08,55.0,5659.06982421875
2017-05-09,61.0,5678.31005859375
